City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,fiambala,-27.6871,-67.6149,12.87,19,15,3.1,Fiambalá,1693374396
184,an nuhud,12.7,28.4333,26.95,60,95,5.04,An Nuhūd,1693374396
185,samana,19.2056,-69.3369,26.07,92,87,1.37,Samaná,1693374396
186,ust-nera,64.5667,143.2,22.0,45,82,6.81,Ust-Nera,1693374000
187,choma,-16.8065,26.9531,13.48,56,0,4.44,Choma,1693374396
188,nova xavantina,-14.6667,-52.35,25.54,60,3,1.33,Nova Xavantina,1693374397
189,puerto aysen,-45.4,-72.7,3.6,99,100,2.11,Puerto Aisén,1693374397
190,tura,25.5198,90.2201,31.7,56,7,1.69,Tura,1693373997
191,howard springs,-12.497,131.047,30.95,49,17,0.65,Howard Springs,1693374397
192,puerto baquerizo moreno,-0.9,-89.6,23.7,81,92,4.67,Puerto Baquerizo Moreno,1693374397
193,mawu,29.5923,107.3139,28.26,57,44,2.41,Mawu,1693374398
194,ilza,51.1631,21.2398,19.79,95,98,1.9,Iłża,1693374398
195,la passe,45.5549,-0.8967,13.32,82,61,3.01,La Passe,1693374021
196,kas,36.2018,29.6377,30.54,45,0,1.09,Kas,1693374398
197,necochea,-38.5473,-58.7368,9.22,72,98,6.03,Necochea,1693374399
198,lebu,-37.6167,-73.65,9.58,84,92,4.15,Lebu,1693374034
199,yangirabot,40.0254,65.961,32.47,15,97,6.49,Yangirabot,1693374399
200,munduk,-8.2687,115.0795,24.43,54,39,1.0,Munduk,1693374399
201,barra de santo antonio,-9.4047,-35.5072,22.6,81,10,2.18,Barra de Santo Antônio,1693374399
202,cadale,2.7603,46.3222,26.52,74,53,9.25,Cadale,1693374400
203,buulobarde,3.8538,45.5674,27.51,59,76,10.93,Buulobarde,1693374400
204,xilin hot,43.9667,116.0333,19.73,45,43,2.91,Xilin Hot,1693373993
205,ternate,0.8,127.4,27.5,80,73,5.84,Ternate,1693374401
206,utrik,11.2278,169.8474,28.48,78,43,8.38,Utrik,1693373986
207,itoman,26.1247,127.6694,33.21,66,40,4.63,Itoman,1693374266
208,jamestown,42.097,-79.2353,17.62,94,0,2.06,Jamestown,1693374062
209,neryungri,56.6709,124.6491,23.17,37,49,2.1,Neryungri,1693374401
210,hammerfest,70.6634,23.6821,11.25,93,75,3.09,Hammerfest,1693374132
211,sandusky,41.3501,-83.1332,20.45,72,41,1.34,Sandusky,1693374402
212,san antonio de pale,-1.4014,5.6325,23.67,90,80,5.18,San Antonio de Palé,1693374402
213,cill airne,52.05,-9.5167,8.98,87,100,1.31,Killarney,1693374402
214,piti village,13.4626,144.6933,30.03,85,75,6.69,Piti Village,1693374303
215,ola,59.5833,151.2833,21.19,83,24,3.49,Ola,1693374403
